"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
1980,"Mariana Islands",1,0,0,0,0,0,0,0,0
1980,"Other",0,0,0,0,0,0,0,0,0
1981,"Alaska",55,27,0.49,0,0,0,0,451875,0
1981,"Alabama",490,303,0.62,0,0,18,0.06,3947449,0
1981,"Arkansas",352,205,0.58,0,0,0,0,2309660,0
1981,"American Samoa",1,0,0,0,0,0,0,0,0
1981,"Arizona",173,112,0.65,0,0,0,0,2804998,0
1981,"California",939,631,0.67,0,0,0,0,24273613,0
1981,"Colorado",323,227,0.70,0,0,0,0,2981143,0
1981,"Connecticut",129,96,0.74,0,0,0,0,3209430,0
1981,"Canal Zone",0,0,0,0,0,0,0,44650,0
1981,"District of Columbia",3,1,0.33,0,0,0,0,636000,0
1981,"Delaware",84,53,0.63,0,0,0,0,598000,0
1981,"Florida",1223,691,0.57,0,0,2,0.00,10242064,0
1981,"Georgia",829,414,0.50,0,0,1,0.00,5600401,0
1981,"Guam",3,0,0,0,0,0,0,86926,0
1981,"Hawaii",18,8,0.44,0,0,0,0,1026095,0
1981,"Iowa",300,224,0.75,0,0,0,0,2905854,0
1981,"Idaho",154,102,0.66,0,0,1,0.01,980821,0
1981,"Illinois",1188,677,0.57,0,0,2,0.00,11494936,0
1981,"Indiana",451,282,0.63,0,0,2,0.01,5479361,0
1981,"Kansas",474,239,0.50,0,0,0,0,2410957,0
1981,"Kentucky",725,469,0.65,0,0,1,0.00,3673284,0
1981,"Louisiana",315,148,0.47,0,0,1,0.01,4322753,0
1981,"Massachusetts",512,318,0.62,0,0,0,0,5774998,0
1981,"Maryland",225,167,0.74,0,0,0,0,4336685,0
1981,"Maine",244,130,0.53,0,0,0,0,1139937,0
1981,"Michigan",867,658,0.76,0,0,0,0,9370270,0
1981,"Minnesota",498,287,0.58,0,0,0,0,4101608,0
1981,"Missouri",731,237,0.32,0,0,0,0,5009973,0
1981,"Mississippi",278,166,0.60,0,0,0,0,2530000,0
