year,state,incidents,CM_Other,CM_Physical_Abuse,CM_Neglect,CM_Sexual_Abuse,IPV_Other,IPV_Physical_Abuse,IPV_Neglect_or_Emotional_Abuse,IPV_Sexual_Abuse,total_population,nibrs_population,pct_population_covered,incidents_normalized,CM_normalized,IPV_normalized
2009,ID,1340,0,237,0,61,116,811,0,115,1606258,1543741,0.961079104353099,0.0008680212548607571,0.00019303756264813852,0.0006749836922126186
2010,ID,1172,0,146,0,31,95,792,0,108,1641370,1564555,0.953200679919823,0.000749094790531493,0.00011313120983282787,0.0006359635806986651
2011,ID,1037,0,110,0,34,39,753,0,101,1647369,1584985,0.9621311315194107,0.0006542648668599388,9.085259481950934e-05,0.0005634122720404294
2012,ID,1076,0,121,0,29,68,770,0,88,1658218,1595728,0.9623149670308729,0.0006743003820199934,9.400098262360502e-05,0.0005802993993963884
2013,ID,1155,0,134,0,35,42,844,0,100,1673884,1611676,0.9628361344035787,0.0007166452810614541,0.00010485978571375389,0.0006117854953477001
2014,ID,1102,0,119,0,31,35,794,0,123,1691496,1634011,0.9660152906066583,0.0006744140645320013,9.179864762232323e-05,0.0005826154169096781
2015,ID,1182,0,136,0,42,45,845,0,114,1719351,1654475,0.9622671577822097,0.0007144260263829916,0.00010758699889693105,0.0006068390274860605
2016,ID,1224,0,158,0,47,49,851,0,119,1741411,1680830,0.9652115439721007,0.000728211657335959,0.00012196355372048334,0.0006062481036154757
2017,ID,1223,0,179,0,29,27,882,0,106,1785558,1717917,0.9621177245432521,0.000711908666134627,0.00012107686226983026,0.0005908318038647968
2018,ID,1331,0,173,0,62,41,897,0,158,1819181,1752918,0.9635753671569789,0.0007593053411511548,0.00013406217518446384,0.000625243165966691
2019,ID,1412,0,154,0,44,28,1035,0,151,1871068,1785551,0.9542950870839542,0.0007907923100488309,0.00011089013979438279,0.000679902170254448
2020,ID,1486,0,204,0,44,17,1070,0,151,1997945,1819575,0.9107232681580324,0.0008166742233763379,0.0001362955635244494,0.0006803786598518884
2000,KS,1103,0,312,0,37,14,656,0,84,3483644,2285796,0.6561508581244238,0.00048254524900734797,0.0001526820416170122,0.0003298632073903358
2001,KS,1139,0,298,0,38,26,680,0,97,3288796,2296266,0.6982087061648092,0.0004960226733313998,0.00014632451118467982,0.00034969816214671995
2002,KS,1293,0,309,0,46,24,790,0,124,2998062,2340716,0.7807430266618902,0.0005523950791125451,0.00015166299542533138,0.0004007320836872137
2003,KS,1372,0,270,0,40,25,879,0,158,3248805,2382320,0.7332911639818334,0.0005759091977568085,0.0001301252560529232,0.0004457839417038853
2004,KS,1550,0,328,0,56,40,961,0,165,2985539,2109590,0.7066027273467204,0.0007347399257675662,0.00018202589128693254,0.0005527140344806337
2005,KS,1777,0,501,0,53,67,1005,0,151,2960026,2050991,0.6928962786137689,0.0008664104328102854,0.0002701133257045009,0.0005962971071057845
2006,KS,2167,0,711,0,63,71,1134,0,188,3046447,2137934,0.7017794827876539,0.0010135953682386828,0.0003620317558914354,0.0006515636123472474
2007,KS,2344,0,759,0,54,73,1201,0,257,3057194,2140131,0.7000311396659813,0.0010952600565105595,0.00037988328751838087,0.0007153767689921785
2008,KS,2108,0,606,0,64,96,1179,0,163,3072468,2182853,0.7104558940890515,0.0009657086391067104,0.0003069377553138026,0.0006587708837929077
2009,KS,2102,0,634,0,49,78,1168,0,173,3116961,2196291,0.7046257556639304,0.0009570680752231831,0.0003109788274868858,0.0006460892477362973
2010,KS,2200,0,648,0,65,113,1191,0,183,3077427,2236493,0.7267412029594853,0.0009836829357391236,0.0003188026969009069,0.0006648802388382167
2011,KS,2110,0,661,0,61,71,1134,0,183,3069733,2254330,0.734373315203635,0.0009359765429196257,0.0003202725421743933,0.0006157040007452326
2012,KS,2101,0,653,0,68,73,1125,0,182,3101406,2272654,0.7327818415260692,0.0009244698049065102,0.0003172502281473555,0.0006072195767591547
2013,KS,1948,0,606,0,58,57,1064,0,163,3127695,2270633,0.7259764778854716,0.0008579105474112285,0.0002924294679060861,0.0005654810795051424
2014,KS,2006,0,745,0,54,55,1003,0,149,3251120,2241181,0.6893565909594233,0.0008950638078762938,0.00035650846584903226,0.0005385553420272616
2015,KS,1924,0,583,0,76,45,1046,0,174,3171963,2134475,0.672919261668563,0.0009013926141088558,0.0003087410253106736,0.0005926515887981822
2016,KS,2019,0,617,0,54,27,1137,0,184,3154949,2135061,0.6767339186782417,0.0009456404290088199,0.00031427673495043,0.0006313636940583899
2017,KS,2020,0,602,0,48,34,1199,0,137,3089428,2160974,0.6994738184544194,0.0009347636760090589,0.0003007902917850932,0.0006339733842239657
2018,KS,2583,0,691,0,69,39,1572,0,212,3099580,2129021,0.6868740280941289,0.0012132336881599572,0.00035697158459216703,0.0008562621035677901
2019,KS,2623,0,688,0,50,35,1654,0,196,3337231,2268370,0.6797162078381748,0.0011563369291605866,0.0003253437490356512,0.0008309931801249355
2020,KS,2628,0,615,0,75,25,1743,0,170,3355250,2586059,0.770750018627524,0.0010162181141265532,0.0002668152582752366,0.0007494028558513166
2000,KY,200,0,29,0,0,0,166,0,5,4167708,157418,0.037770880301595026,0.0012705027379334003,0.00018422289700034303,0.0010862798409330572
2001,KY,215,0,30,0,7,0,167,0,11,4410447,453265,0.1027707622379319,0.0004743362050897378,8.162995157358279e-05,0.000392706253516155
2002,KY,164,0,30,0,2,1,126,0,5,4496702,536056,0.11921092391712859,0.0003059381855627024,5.969525571955169e-05,0.0002462429298431507
2003,KY,150,0,28,0,13,2,100,0,7,4769068,844645,0.17710902843071225,0.0001775894014645206,4.854110306696896e-05,0.00012904829839755164
2004,KY,171,0,45,0,12,2,102,0,10,4855220,888178,0.1829325962572242,0.00019252897504779448,6.417632501593149e-05,0.00012835265003186298
2005,KY,128,0,45,0,15,4,51,0,13,4933532,942350,0.19100919989978782,0.00013583063617551866,6.367061070727436e-05,7.216002546824428e-05
2006,KY,97,0,25,0,13,0,44,0,15,5067260,1130457,0.22309038809928838,8.580600588965348e-05,3.3614723956771464e-05,5.219128193288201e-05
2007,KY,60,0,17,0,7,1,27,0,8,5361581,1430789,0.2668595326639661,4.193490444782564e-05,1.6773961779130255e-05,2.5160942668695385e-05
