,State,date,weekly_benefit_amounts
538,Wyoming,2020-10-01,436.29
539,US,2020-10-01,316.25
540,Alabama,2020-11-01,263.31
541,Alaska,2020-11-01,300.39
542,Arizona,2020-11-01,233.83
543,Arkansas,2020-11-01,251.75
544,California,2020-11-01,288.68
545,Colorado,2020-11-01,382.71
546,Connecticut,2020-11-01,337.45
547,Delaware,2020-11-01,254.87
548,District of Columbia,2020-11-01,338.99
549,Florida,2020-11-01,228.8
550,Georgia,2020-11-01,258.3
551,Hawaii,2020-11-01,422.72
552,Idaho,2020-11-01,331.43
553,Illinois,2020-11-01,342.55
554,Indiana,2020-11-01,232.05
555,Iowa,2020-11-01,392.27
556,Kansas,2020-11-01,406.89
557,Kentucky,2020-11-01,302.09
558,Louisiana,2020-11-01,183.04
559,Maine,2020-11-01,312.51
560,Maryland,2020-11-01,396.0
561,Massachusetts,2020-11-01,490.85
562,Michigan,2020-11-01,314.27
563,Minnesota,2020-11-01,417.36
564,Mississippi,2020-11-01,188.45
565,Missouri,2020-11-01,248.04
566,Montana,2020-11-01,446.25
567,Nebraska,2020-11-01,326.69
568,Nevada,2020-11-01,377.59
569,New Hampshire,2020-11-01,283.63
570,New Jersey,2020-11-01,420.91
571,New Mexico,2020-11-01,317.41
572,New York,2020-11-01,347.24
573,North Carolina,2020-11-01,227.7
574,North Dakota,2020-11-01,477.27
575,Ohio,2020-11-01,349.78
576,Oklahoma,2020-11-01,346.3
577,Oregon,2020-11-01,382.61
578,Pennsylvania,2020-11-01,357.51
579,Puerto Rico,2020-11-01,622.92
580,Rhode Island,2020-11-01,375.43
581,South Carolina,2020-11-01,215.05
582,South Dakota,2020-11-01,333.73
583,Tennessee,2020-11-01,221.55
584,Texas,2020-11-01,394.4
585,Utah,2020-11-01,420.07
586,Vermont,2020-11-01,362.09
587,Virgin Islands,2020-11-01,393.45
588,Virginia,2020-11-01,293.27
589,Washington,2020-11-01,451.42
590,West Virginia,2020-11-01,271.71
591,Wisconsin,2020-11-01,298.95
592,Wyoming,2020-11-01,430.93
593,US,2020-11-01,330.1
594,Alabama,2020-12-01,276.39
595,Alaska,2020-12-01,303.04
596,Arizona,2020-12-01,234.21
597,Arkansas,2020-12-01,245.67
598,California,2020-12-01,295.7
599,Colorado,2020-12-01,404.35
600,Connecticut,2020-12-01,356.34
601,Delaware,2020-12-01,263.56
602,District of Columbia,2020-12-01,340.15
603,Florida,2020-12-01,231.35
604,Georgia,2020-12-01,263.7
605,Hawaii,2020-12-01,419.99
606,Idaho,2020-12-01,340.14
607,Illinois,2020-12-01,353.33
608,Indiana,2020-12-01,242.3
609,Iowa,2020-12-01,408.25
610,Kansas,2020-12-01,429.64
611,Kentucky,2020-12-01,300.49
612,Louisiana,2020-12-01,185.83
613,Maine,2020-12-01,327.05
614,Maryland,2020-12-01,419.66
615,Massachusetts,2020-12-01,496.73
616,Michigan,2020-12-01,302.34
617,Minnesota,2020-12-01,415.18
618,Mississippi,2020-12-01,192.74
619,Missouri,2020-12-01,253.02
620,Montana,2020-12-01,448.01
621,Nebraska,2020-12-01,335.43
622,Nevada,2020-12-01,376.12
623,New Hampshire,2020-12-01,288.75
624,New Jersey,2020-12-01,431.11
625,New Mexico,2020-12-01,313.39
626,New York,2020-12-01,355.62
627,North Carolina,2020-12-01,233.4
628,North Dakota,2020-12-01,478.29
629,Ohio,2020-12-01,362.59
630,Oklahoma,2020-12-01,355.18
631,Oregon,2020-12-01,378.49
632,Pennsylvania,2020-12-01,361.46
633,Puerto Rico,2020-12-01,304.43
634,Rhode Island,2020-12-01,379.18
635,South Carolina,2020-12-01,217.78
636,South Dakota,2020-12-01,348.39
637,Tennessee,2020-12-01,225.48
638,Texas,2020-12-01,405.95
639,Utah,2020-12-01,426.44
640,Vermont,2020-12-01,368.36
641,Virgin Islands,2020-12-01,393.03
642,Virginia,2020-12-01,285.03
643,Washington,2020-12-01,444.24
644,West Virginia,2020-12-01,280.87
645,Wisconsin,2020-12-01,295.21
646,Wyoming,2020-12-01,428.18
647,US,2020-12-01,339.09
648,Alabama,2021-01-01,287.52
649,Alaska,2021-01-01,301.8
650,Arizona,2021-01-01,238.23
651,Arkansas,2021-01-01,248.7
652,California,2021-01-01,307.24
653,Colorado,2021-01-01,380.89
654,Connecticut,2021-01-01,364.0
655,Delaware,2021-01-01,247.96
656,District of Columbia,2021-01-01,346.57
657,Florida,2021-01-01,233.59
658,Georgia,2021-01-01,272.05
659,Hawaii,2021-01-01,441.36
660,Idaho,2021-01-01,351.32
661,Illinois,2021-01-01,363.38
662,Indiana,2021-01-01,247.52
663,Iowa,2021-01-01,425.24
664,Kansas,2021-01-01,432.77
665,Kentucky,2021-01-01,325.01
666,Louisiana,2021-01-01,192.98
667,Maine,2021-01-01,336.74
668,Maryland,2021-01-01,330.25
669,Massachusetts,2021-01-01,521.24
670,Michigan,2021-01-01,336.89
671,Minnesota,2021-01-01,435.55
672,Mississippi,2021-01-01,190.27
673,Missouri,2021-01-01,253.87
674,Montana,2021-01-01,470.47
675,Nebraska,2021-01-01,342.19
676,Nevada,2021-01-01,371.22
677,New Hampshire,2021-01-01,279.36
678,New Jersey,2021-01-01,443.41
679,New Mexico,2021-01-01,315.5
680,New York,2021-01-01,357.57
681,North Carolina,2021-01-01,222.14
682,North Dakota,2021-01-01,486.51
683,Ohio,2021-01-01,373.26
684,Oklahoma,2021-01-01,356.46
685,Oregon,2021-01-01,376.99
686,Pennsylvania,2021-01-01,364.45
687,Puerto Rico,2021-01-01,199.34
688,Rhode Island,2021-01-01,395.29
689,South Carolina,2021-01-01,221.28
690,South Dakota,2021-01-01,360.52
691,Tennessee,2021-01-01,222.89
692,Texas,2021-01-01,411.3
693,Utah,2021-01-01,427.04
694,Vermont,2021-01-01,377.85
695,Virgin Islands,2021-01-01,416.77
696,Virginia,2021-01-01,291.35
697,Washington,2021-01-01,458.5
698,West Virginia,2021-01-01,279.67
699,Wisconsin,2021-01-01,307.03
700,Wyoming,2021-01-01,428.96
701,US,2021-01-01,346.46
702,Alabama,2021-02-01,281.84
703,Alaska,2021-02-01,297.47
704,Arizona,2021-02-01,238.83
705,Arkansas,2021-02-01,249.26
706,California,2021-02-01,311.25
707,Colorado,2021-02-01,375.54
708,Connecticut,2021-02-01,363.07
709,Delaware,2021-02-01,269.6
710,District of Columbia,2021-02-01,350.67
711,Florida,2021-02-01,237.98
712,Georgia,2021-02-01,273.87
713,Hawaii,2021-02-01,455.95
714,Idaho,2021-02-01,355.11
715,Illinois,2021-02-01,373.27
716,Indiana,2021-02-01,258.92
717,Iowa,2021-02-01,431.71
718,Kansas,2021-02-01,412.97
719,Kentucky,2021-02-01,335.16
720,Louisiana,2021-02-01,193.03
721,Maine,2021-02-01,337.87
722,Maryland,2021-02-01,317.72
723,Massachusetts,2021-02-01,500.18
724,Michigan,2021-02-01,317.93
725,Minnesota,2021-02-01,453.7
726,Mississippi,2021-02-01,194.4
727,Missouri,2021-02-01,256.73
728,Montana,2021-02-01,472.41
729,Nebraska,2021-02-01,350.33
730,Nevada,2021-02-01,363.12
731,New Hampshire,2021-02-01,280.24
732,New Jersey,2021-02-01,461.55
733,New Mexico,2021-02-01,324.94
734,New York,2021-02-01,363.08
735,North Carolina,2021-02-01,218.36
736,North Dakota,2021-02-01,485.02
737,Ohio,2021-02-01,382.4
738,Oklahoma,2021-02-01,313.85
739,Oregon,2021-02-01,377.78
740,Pennsylvania,2021-02-01,386.06
741,Puerto Rico,2021-02-01,518.2
742,Rhode Island,2021-02-01,399.61
743,South Carolina,2021-02-01,225.98
744,South Dakota,2021-02-01,369.3
745,Tennessee,2021-02-01,217.05
